"","District","comunidad","%nativo","%nlee_men","%nesc_men","%nlee_wom"
"1","SAN GERÓNIMO","P.SAN GERÓNIMO",0.27209705372617,0.393586005830904,0.418224299065421,0.606413994169096
"2","CIUDAD DEL CERRO","C.CIUDAD DEL CERRO",0.490500863557858,0.587896253602305,0.618721461187215,0.412103746397695
